cohort,feature,rows,present_rows,coverage,first_seen
pd_development,hardship_loan_status,17433,0,0.0,
policy_development,hardship_loan_status,94885,0,0.0,
post_extension,hardship_loan_status,877671,74246,0.08459434115972841,2017-10-01
primary_oot,hardship_loan_status,376890,5252,0.013935100427180344,2016-04-01
probability_calibration,hardship_loan_status,14101,0,0.0,
censored_extension,hardship_payoff_balance_amount,88227,5228,0.059256236752921444,2017-07-01
conformal_fit,hardship_payoff_balance_amount,49007,0,0.0,
maturity_gap,hardship_payoff_balance_amount,541863,2205,0.0040692942681083595,2014-08-01
pd_development,hardship_payoff_balance_amount,17433,0,0.0,
policy_development,hardship_payoff_balance_amount,94885,0,0.0,
post_extension,hardship_payoff_balance_amount,877671,95172,0.10843698834756987,2017-10-01
primary_oot,hardship_payoff_balance_amount,376890,7010,0.018599591392714054,2016-04-01
probability_calibration,hardship_payoff_balance_amount,14101,0,0.0,
censored_extension,hardship_reason,88227,3579,0.04056581318643952,2017-07-01
conformal_fit,hardship_reason,49007,0,0.0,
maturity_gap,hardship_reason,541863,2205,0.0040692942681083595,2014-08-01
pd_development,hardship_reason,17433,0,0.0,
policy_development,hardship_reason,94885,0,0.0,
post_extension,hardship_reason,877671,74391,0.08475955113020711,2017-10-01
primary_oot,hardship_reason,376890,5254,0.013940407015309507,2016-04-01
probability_calibration,hardship_reason,14101,0,0.0,
censored_extension,hardship_start_date,88227,3579,0.04056581318643952,2017-07-01
conformal_fit,hardship_start_date,49007,0,0.0,
maturity_gap,hardship_start_date,541863,2205,0.0040692942681083595,2014-08-01
pd_development,hardship_start_date,17433,0,0.0,
policy_development,hardship_start_date,94885,0,0.0,
post_extension,hardship_start_date,877671,74396,0.08476524802574086,2017-10-01
primary_oot,hardship_start_date,376890,5254,0.013940407015309507,2016-04-01
probability_calibration,hardship_start_date,14101,0,0.0,
censored_extension,hardship_status,88227,3578,0.04055447878767271,2017-07-01
conformal_fit,hardship_status,49007,0,0.0,
maturity_gap,hardship_status,541863,2205,0.0040692942681083595,2014-08-01
pd_development,hardship_status,17433,0,0.0,
policy_development,hardship_status,94885,0,0.0,
post_extension,hardship_status,877671,74395,0.0847641086466341,2017-10-01
primary_oot,hardship_status,376890,5254,0.013940407015309507,2016-04-01
probability_calibration,hardship_status,14101,0,0.0,
censored_extension,hardship_type,88227,3579,0.04056581318643952,2017-07-01
conformal_fit,hardship_type,49007,0,0.0,
maturity_gap,hardship_type,541863,2205,0.0040692942681083595,2014-08-01
pd_development,hardship_type,17433,0,0.0,
policy_development,hardship_type,94885,0,0.0,
post_extension,hardship_type,877671,74396,0.08476524802574086,2017-10-01
primary_oot,hardship_type,376890,5254,0.013940407015309507,2016-04-01
probability_calibration,hardship_type,14101,0,0.0,
censored_extension,home_ownership,88227,88227,1.0,2017-07-01
conformal_fit,home_ownership,49007,49007,1.0,2012-01-01
