relative_path,caption_type,caption_index,caption_text,caption_index_truncated
paper/Bertsimas Sim 2004 - The Price of Robustness.pdf,figure,11,Figure 7: The solution of the portfolio for various protection levels.,false
paper/Bertsimas Sim 2004 - The Price of Robustness.pdf,figure,12,Figure 8: Simulation study of the probability of underperforming the nominal return as a function of Γ.,false
paper/Bertsimas Sim 2004 - The Price of Robustness.pdf,table,13,Table 3: Simulation results given by the robust solution.,false
paper/Bertsimas Sim 2004 - The Price of Robustness.pdf,figure,14,"Figure 9: Empirical Result of expected, maximum and minimum yield.",false
paper/Bertsimas Sim 2004 - The Price of Robustness.pdf,truncation_note,15,4 additional figure/table captions omitted from this compact index.,true
paper/Chi Ding Peng 2019 - Data-Driven Robust Credit Portfolio Optimization in P2P Lending.pdf,figure,1,Figure 1: The curve of CV (h).,false
paper/Chi Ding Peng 2019 - Data-Driven Robust Credit Portfolio Optimization in P2P Lending.pdf,figure,2,Figure 2: Performance comparison.,false
paper/Chi Ding Peng 2019 - Data-Driven Robust Credit Portfolio Optimization in P2P Lending.pdf,table,3,Table 2: Rate of return from the optimal portfolio on the Prosper Table 3: Investors’ choices of input parameters for portfolio selec-,false
paper/Chi Ding Peng 2019 - Data-Driven Robust Credit Portfolio Optimization in P2P Lending.pdf,table,4,Table 4: Investment performances of input parameters for portfolio selection.,false
paper/Donti et al 2017 - Task-Based End-to-End Model Learning.pdf,figure,1,"Figure 1: Features x, model predictions y, and policy z for the three experiments.",false
paper/Donti et al 2017 - Task-Based End-to-End Model Learning.pdf,figure,2,Figure 2: Inventory problem results for 10 runs over a representative instantiation of true parameters,false
paper/Donti et al 2017 - Task-Based End-to-End Model Learning.pdf,figure,3,Figure 4: Results for 10 runs of the generation-scheduling problem for representative decision,false
paper/Donti et al 2017 - Task-Based End-to-End Model Learning.pdf,figure,4,"Figure 3: 2-hidden-layer neural network to programming model that minimizes just the RMSE,",false
paper/Donti et al 2017 - Task-Based End-to-End Model Learning.pdf,figure,5,"Figure 4 shows the performance of the three models on the testing dataset. As expected, the RMSE",false
paper/Donti et al 2017 - Task-Based End-to-End Model Learning.pdf,table,6,"Table 1: Task loss results for 10 runs each of the battery storage problem, given a lithium-ion battery",false
paper/Donti et al 2017 - Task-Based End-to-End Model Learning.pdf,table,7,Table 1 shows the performance of the two models on the testing dataset. As energy prices are difficult,false
paper/Elmachtoub Grigas 2022 - Smart Predict Then Optimize.pdf,figure,1,Figure 1 Geometric Illustration of SPO Loss,false
paper/Elmachtoub Grigas 2022 - Smart Predict Then Optimize.pdf,figure,2,Figure 2 Difference between prediction and decision residuals,false
paper/Elmachtoub Grigas 2022 - Smart Predict Then Optimize.pdf,figure,3,Figure 3 Illustrative Example.,false
paper/Elmachtoub Grigas 2022 - Smart Predict Then Optimize.pdf,figure,4,"Figure 4 summarizes our ﬁndings, and note that the box plot for each conﬁguration of the",false
paper/Elmachtoub Grigas 2022 - Smart Predict Then Optimize.pdf,figure,5,"Figure 4 Normalized test set SPO loss for the SPO+, least squares, absolute loss, and random forests methods on",false
paper/Elmachtoub Grigas 2022 - Smart Predict Then Optimize.pdf,figure,6,Figure 5 displays our results for this experiment. Generally we observe similar patterns,false
paper/Elmachtoub Grigas 2022 - Smart Predict Then Optimize.pdf,figure,7,"Figure 5 Normalized test set SPO loss for the SPO+, least squares, absolute loss, and random forests methods on",false
paper/Guo et al 2016 - Instance-Based Credit Risk Assessment for Investment Decisions in P2P Lending.pdf,figure,1,Fig. 1. We estimate the investment return of L3 by computing the weights between L3 and baseline models for experimental comparison.,false
paper/Guo et al 2016 - Instance-Based Credit Risk Assessment for Investment Decisions in P2P Lending.pdf,figure,2,Fig. 2. Predicted rate of return (top row) and predicted risk (bottom row) versus probability of default for Lending Club (left column) and Prosper (right column).,false
paper/Guo et al 2016 - Instance-Based Credit Risk Assessment for Investment Decisions in P2P Lending.pdf,table,3,Table 2 shows the investment return rate on each testing subset 4 0.0236 0.0398 0.0481,false
paper/Guo et al 2016 - Instance-Based Credit Risk Assessment for Investment Decisions in P2P Lending.pdf,figure,4,Fig. 3. Sensitivity analysis.,false
paper/Hu et al 2026 - Conformal Robustness Control.pdf,figure,1,"Figure 1 compares the conventional CRO framework with our proposed method CRC, at the nominal",false
paper/Hu et al 2026 - Conformal Robustness Control.pdf,figure,2,"Figure 1: Comparison of CRO and our method CRC. Portfolio optimization problem with ϕ(y, z) =",false
paper/Hu et al 2026 - Conformal Robustness Control.pdf,figure,3,"Figure 2: The results of risk certificate, decision loss, robustness, and coverage on synthetic data",false
paper/Hu et al 2026 - Conformal Robustness Control.pdf,figure,4,"Figure 3: The results of risk certificate, decision loss, robustness, and coverage on synthetic data",false
paper/Hu et al 2026 - Conformal Robustness Control.pdf,table,5,"Table 1: The results of risk certificate, decision loss, and robustness under nominal levels α = 0.1",false
paper/Hu et al 2026 - Conformal Robustness Control.pdf,figure,6,"Figure 4: The results of risk certificate, decision loss, and robustness when varying nominal level α",false
paper/Hu et al 2026 - Conformal Robustness Control.pdf,figure,7,"Figure 5: The risk certificate, decision loss and robustness when varying nominal level α on battery",false
paper/Hu et al 2026 - Conformal Robustness Control.pdf,table,8,Table 2: The results of different smoothing parameters sensitivity of CRC at the nominal level,false
paper/Hu et al 2026 - Conformal Robustness Control.pdf,table,9,"Table 3: The results of lagrange multiplier update schedule of CRC at the nominal level α = 0.1,",false
paper/Hu et al 2026 - Conformal Robustness Control.pdf,figure,10,Figure 6: The densities of risk certificate on synthetic data when α = 0.15 and n = 1500.,false
paper/Hu et al 2026 - Conformal Robustness Control.pdf,table,11,"Table 4: The simulation results of CRC and RAC at the nominal level α = 0.1, where the sample",false
paper/Hu et al 2026 - Conformal Robustness Control.pdf,figure,12,"Figure 7: The results of risk certificate, decision loss, robustness, and coverage on synthetic data",false
paper/Hu et al 2026 - Conformal Robustness Control.pdf,table,13,"Table 5: The simulation results under polyhedral prediction set with nominal level α = 0.1, where",false
