learner,learner_label,window,window_id,taxonomy_groups,score_stratum,conformal_group,alpha,fit_rows,fit_defaults,fit_default_prevalence,finite_sample_rank,boundary_count,phase_boundary_rate,phase_margin,phase_prevalence_at_or_below_boundary,frozen_threshold,threshold_below_half,max_score_below_half_condition,target_candidate_rows,target_score_max,positive_label_boundary,target_max_below_positive_label_boundary,positive_label_excluded_from_every_target_set,target_resolved_rows,target_resolved_misses,resolved_misses_in_exclusion_strata,resolved_misses_all_strata,exclusion_strata_resolved_miss_fraction
catboost_platt,CatBoost,W3,w03_2012m03_m08,5,2,1,0.1,2931,232,0.0791538723984988,2639,292,0.09962470146707608,-60,True,0.0797095922909728,True,True,79865,0.080368886853859,0.9202904077090273,True,True,77165,9640,16662,44604,0.37355394135055153
catboost_platt,CatBoost,W3,w03_2012m03_m08,5,3,2,0.1,4018,458,0.1139870582379293,3618,400,0.09955201592832255,58,False,0.8916085888119072,False,True,79047,0.1118929639718075,0.10839141118809281,False,False,76495,9969,16662,44604,0.37355394135055153
catboost_platt,CatBoost,W3,w03_2012m03_m08,5,4,3,0.1,4806,776,0.1614648356221389,4327,479,0.09966708281315023,297,False,0.863313952320159,False,True,80235,0.1532609213726591,0.13668604767984105,False,False,77819,9343,16662,44604,0.37355394135055153
catboost_platt,CatBoost,W3,w03_2012m03_m08,5,5,4,0.1,5112,1116,0.2183098591549295,4602,510,0.09976525821596244,606,False,0.8115631424920364,False,True,77223,0.5544847575803251,0.18843685750796357,False,False,74890,8630,16662,44604,0.37355394135055153
catboost_platt,CatBoost,W4,w04_2012m04_m09,5,1,0,0.1,2320,104,0.0448275862068965,2089,231,0.09956896551724138,-127,True,0.0485356508584787,True,True,60520,0.0502639837473318,0.9514643491415213,True,True,58445,7631,17103,45648,0.3746713985278654
catboost_platt,CatBoost,W4,w04_2012m04_m09,5,2,1,0.1,3199,249,0.0778368240075023,2880,319,0.0997186620819006,-70,True,0.0797876649605875,True,True,79865,0.080368886853859,0.9202123350394125,True,True,77165,9472,17103,45648,0.3746713985278654
catboost_platt,CatBoost,W4,w04_2012m04_m09,5,3,2,0.1,4511,496,0.1099534471292396,4061,450,0.09975615162935048,46,False,0.890281077239412,False,True,79047,0.1118929639718075,0.10971892276058803,False,False,76495,10485,17103,45648,0.3746713985278654
catboost_platt,CatBoost,W4,w04_2012m04_m09,5,4,3,0.1,5643,906,0.1605528973950026,5080,563,0.09976962608541556,343,False,0.8624583885207028,False,True,80235,0.1532609213726591,0.13754161147929722,False,False,77819,9648,17103,45648,0.3746713985278654
catboost_platt,CatBoost,W4,w04_2012m04_m09,5,5,4,0.1,6094,1320,0.2166064981949458,5486,608,0.09977026583524778,712,False,0.8127065501276763,False,True,77223,0.5544847575803251,0.18729344987232366,False,False,74890,8412,17103,45648,0.3746713985278654
catboost_platt,CatBoost,W5,w05_2012m05_m10,5,1,0,0.1,2456,115,0.0468241042345276,2212,244,0.0993485342019544,-129,True,0.0484384683655253,True,True,60520,0.0502639837473318,0.9515615316344747,True,True,58445,7840,17314,46509,0.3722720333698854
