temporal_shift,metric,mean,q05,q50,q95,repetitions
0.15,score_drift,0.014631298260913797,0.009272475430362168,0.014773637478635263,0.019423922223033383,200
0.15,group_penalty_sd,0.3270823525434144,0.274056924025949,0.29238349882136316,0.3896404560577655,200
0.15,pooled_penalty,0.3830340880411893,0.3246374013880809,0.3850345663131681,0.4537916594529339,200
0.15,upper_endpoint_saturation,0.1234225,0.089925,0.12225,0.158,200
0.15,clipping_score_reduction,0.004090846240336022,0.0030129567161328286,0.0040902056499611,0.005038324084332726,200
0.15,taxonomy_allocation_l1,0.057688177469910625,0.03412417371826773,0.05189184786122983,0.08273611452114082,200
0.15,saturation_allocation_l1,0.0019249565136040534,3.262990263757798e-05,0.001541804689260641,0.004398707842667787,200
0.15,guard_point_moment,0.14032552446645855,0.12796423339606985,0.1455853290405036,0.1508258016599105,200
0.15,same_cap_point_moment,0.2138846177256117,0.2076859865054366,0.21387716372162957,0.22061974948492755,200
0.15,matched_point_moment,0.14032552446645855,0.12796423339606985,0.1455853290405036,0.1508258016599105,200
0.15,matched_moment_residual,-4.163336342344337e-19,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,200
0.15,guard_default,0.15669849783813328,0.115,0.15760925356479766,0.195,200
0.15,same_cap_default,0.2383,0.185,0.24,0.2852499999999999,200
0.15,matched_default,0.15887657448199297,0.12,0.16,0.205,200
0.15,guard_minus_same_cap_default,-0.08160150216186675,-0.1257019528459795,-0.08310203802411885,-0.034750000000000086,200
0.15,guard_minus_matched_default,-0.0021780766438596983,-0.03325040738885339,0.0,0.025017279838783525,200
0.15,guard_payoff,0.09090971495328024,0.0646670372585194,0.0900326513835823,0.11906291046901563,200
0.15,same_cap_payoff,0.09403752672785572,0.056354861473134614,0.09356629414965961,0.13187648254850562,200
0.15,matched_payoff,0.09142745529700487,0.0644620906759486,0.08948672280389297,0.11942210431280466,200
0.15,guard_minus_same_cap_payoff,-0.0031278117745755065,-0.0308441702839794,-0.0029584112942706506,0.026749697872717824,200
0.15,guard_minus_matched_payoff,-0.0005177403437246642,-0.01979960892913348,-0.0011189825240235166,0.02128089059115291,200
