learner,learner_label,window_id,score_stratum,fit_rows,target_rows,resolved_rows,unresolved_rows,completion_directional_ks_denominator,calibration_minus_target_ks_min,calibration_minus_target_ks_max,target_minus_calibration_ks_min,target_minus_calibration_ks_max,calibration_minus_target_ks_min_numerator,calibration_minus_target_ks_max_numerator,target_minus_calibration_ks_min_numerator,target_minus_calibration_ks_max_numerator,sharp_directional_discrepancy_comparison,v5_q_and_coverage_reconciled
numeric_logistic_platt,Numeric logistic,w01_2012m01_m06,2,2452,55311,53433,1878,135622572,0.0352454899616562,0.0461474805241121,0.0007756599690499,0.0029120078920196,4780084,6258640,105197,394934,larger_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w01_2012m01_m06,3,2724,70157,67884,2273,191107668,0.0170788018825074,0.0391792913301626,0.0038581863706274,0.0095169232037303,3263890,7487463,737329,1818757,larger_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w01_2012m01_m06,4,3497,87008,84316,2692,304266976,0.0138692245063098,0.0432343403577258,0.0033110099993237,0.011758509079868,4219947,13154782,1007431,3577726,larger_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w01_2012m01_m06,5,4649,115768,112176,3592,538205432,0.0805868064891623,0.1045873836516759,0.000450578878587,0.0050705080955035,43372257,56289498,242504,2728975,larger_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w02_2012m02_m07,1,1712,48646,47005,1641,83281952,0.0359189707753247,0.0681552709043131,0.1372046611011231,0.1441528171673978,2991402,5676104,11426672,12005328,smaller_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w02_2012m02_m07,2,2585,55311,53433,1878,142978935,0.0329913004317733,0.0448733094843656,0.0001518125729499,0.0006144261740374,4717061,6415938,21706,87850,larger_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w02_2012m02_m07,3,2960,70157,67884,2273,207664720,0.012171537851976,0.0337701945713263,0.0036402090831798,0.0104820067655208,2527599,7012878,755943,2176743,larger_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w02_2012m02_m07,4,3925,87008,84316,2692,341506400,0.0116292696125167,0.0407561146731071,0.0060547884314905,0.0152731808247224,3971470,13918474,2067749,5215889,directional_discrepancies_not_robustly_ordered,True
numeric_logistic_platt,Numeric logistic,w02_2012m02_m07,5,5492,115768,112176,3592,635797856,0.0736811103685131,0.0982388465304922,0.000448620575405,0.0039496641523748,46846292,62460048,285232,2511188,larger_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w03_2012m03_m08,1,1945,48646,47005,1641,94616470,0.0351750493333771,0.0688879959271361,0.1332922798747406,0.140219879266263,3328139,6517939,12611645,13267110,smaller_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w03_2012m03_m08,2,2758,55311,53433,1878,152547738,0.0405002727736284,0.0510768307819811,0.0001275469584478,0.0002360244764822,6178225,7791655,19457,36005,larger_target_residual_discrepancy_dominates,True
