paired_policy_id,seed,purpose_cap,payoff_direction,default_direction,miscoverage_direction,payoff_lower,payoff_upper,default_lower,default_upper,miscoverage_lower,miscoverage_upper
linear-006,40,0.25,indeterminate,indeterminate,indeterminate,-56592.98978611812,121366.65920330756,-0.017164369481626862,0.0014573197656681507,-0.010520183329940466,0.00810150591735455
linear-006,40,0.3,indeterminate,indeterminate,indeterminate,-140815.7517315348,11701.100768465185,-0.005602679698605208,0.010580653634728127,-0.0025737500737875348,0.0136095832595458
linear-006,40,1.0,indeterminate,indeterminate,indeterminate,-147836.82141771907,57114.80438333943,-0.01075294609466095,0.010875670815761995,-0.003447872589098959,0.018180744321323987
linear-006,41,0.2,positive,negative,negative,106659.05176866215,277218.6101147835,-0.033368503114203266,-0.01568683439666284,-0.022147554837839784,-0.004540886120299359
linear-006,41,0.25,indeterminate,indeterminate,indeterminate,-76485.36925308839,122280.79324691163,-0.016496575331371603,0.003830091335295065,-0.008651872652198586,0.01073979401446808
linear-006,41,0.3,indeterminate,indeterminate,indeterminate,-128097.95336269157,84030.05036541873,-0.012325287626275473,0.008957743283890901,-0.0056284363526094856,0.015321261224223556
linear-006,41,1.0,indeterminate,indeterminate,positive,-138196.52932299976,28217.0929986333,-0.00716593186939122,0.009197407222431338,0.001755346975630772,0.01811868606745333
linear-006,42,0.2,indeterminate,indeterminate,indeterminate,-80564.62660833367,116112.78339166631,-0.017591632883308332,0.0027050337833583347,-0.007775557314929795,0.010934442685070203
linear-006,42,0.25,negative,indeterminate,positive,-182723.41445994013,-30426.929933036823,-0.0011389612644556926,0.014268016844768722,0.011468052089149555,0.025099381976590555
linear-006,42,0.3,negative,positive,positive,-231608.15489117164,-85796.17240669443,0.0040959224879133045,0.018810655861966986,0.018399255821246636,0.03152732252863365
linear-006,42,1.0,negative,indeterminate,positive,-117552.26141977031,-2430.4975388480016,-0.00369015788140441,0.0083431928131193,0.0031773201607484245,0.014824004188605468
linear-006,43,0.2,positive,negative,negative,146177.18753864555,266021.60503864556,-0.030743147075543174,-0.017496480408876507,-0.02353411057472688,-0.010287443908060216
linear-006,43,0.25,indeterminate,negative,indeterminate,-14554.66939278369,115763.61177144782,-0.016112888565119447,-0.0018221156776443061,-0.011291279782953797,0.002999493104521342
linear-006,43,0.3,negative,indeterminate,positive,-131538.92876520258,-10185.15876520257,-0.004756634224758914,0.008528365775241088,0.000979246605070315,0.014264246605070316
linear-006,43,1.0,negative,indeterminate,positive,-183800.59508198983,-27893.80508198984,-0.003210063568683941,0.013676603097982725,0.0045975022551508135,0.02148416892181748
linear-006,44,0.2,indeterminate,indeterminate,indeterminate,-95828.52825058768,60974.234249412315,-0.009424804438575442,0.007295195561424559,-0.0030846175236631168,0.013635382476336883
linear-006,44,0.25,indeterminate,indeterminate,indeterminate,-44546.89931333826,114513.56285154911,-0.015328181917924562,0.0017119135271301484,-0.00795191539569673,0.009088180049357983
linear-006,44,0.3,indeterminate,negative,indeterminate,-24745.472784552017,143046.679413819,-0.017949614097115756,-0.0002874528760920497,-0.006946153048384382,0.010649341505972656
linear-006,44,1.0,indeterminate,indeterminate,positive,-161384.11107141318,1790.4595884243026,-0.004415383019621634,0.012565891407028367,0.009706931676728918,0.026688206103378916
linear-007,40,0.2,positive,negative,negative,67590.75362092258,118610.18000447561,-0.012822301431968107,-0.00791119512000886,-0.013206408163227497,-0.008295301851268248
linear-007,40,0.25,negative,positive,positive,-90472.46133590692,-34441.30243726654,0.0022796667440352116,0.00763223255695588,0.008221532842987276,0.0134051595851188
linear-007,40,0.3,negative,positive,positive,-77582.82920105717,-25565.752368417358,0.0013931340292956344,0.006288953031739685,0.0009148830514770735,0.00514019354866597
linear-007,40,1.0,negative,positive,indeterminate,-173498.49859092102,-21443.636090921034,0.000843663781517132,0.015611997114850468,-0.006649897236285569,0.006785102763714431
linear-007,41,0.2,positive,negative,indeterminate,2908.6253319606185,94083.87038796367,-0.010082083936077523,-0.0011916877292540142,-0.005765376082896518,0.0029250201239269897
linear-007,41,0.25,positive,negative,negative,81425.70943910631,153477.64259301662,-0.016811618975647515,-0.009733493333503103,-0.012166739725793931,-0.005489667179527828
linear-007,41,0.3,indeterminate,indeterminate,indeterminate,-52388.436073828816,17976.071986416602,-0.003170779801611392,0.00365636930305088,-0.00303167758674796,0.0025954715179143115
linear-007,41,1.0,indeterminate,indeterminate,indeterminate,-49348.09047588538,94333.62635496094,-0.010600662216192776,0.0034775127151417283,-0.006671076885182932,0.006073764712818239
linear-007,42,0.2,positive,negative,negative,24085.837470030492,47209.72497003049,-0.005566113585107422,-0.003274446918440755,-0.0028619774640824248,-0.0017703107974157578
linear-007,42,0.25,negative,indeterminate,positive,-43302.66153504162,-3211.23403504162,-0.0008452451667670859,0.0030080881665662494,3.319136982313578e-05,0.00310152470315647
linear-007,42,0.3,positive,negative,negative,1572.318949601562,36709.013072523005,-0.004149613241010669,-0.0006588417761889693,-0.00495613993148278,-0.0014653684666610825
linear-007,42,1.0,negative,indeterminate,indeterminate,-89832.84614110213,-4238.328477055249,-0.0006522114768854432,0.007577315341326717,-0.0009493867606110919,0.006893473390934402
