candidate_family,run_label,tier,decision_read,candidate_rank,shortlist_bucket,policy_mode,risk_tolerance,gamma,delta_cap_quantile,tail_focus_quantile,uncertainty_aversion,realized_total_return,return_delta_vs_champion,alpha01_exact_pass,alpha01_weighted_miscoverage_V,alpha01_gamma_cp,alpha01_violation,alpha01_empirical_coverage_funded,n_funded
canonical_4_return_aware,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_Gamma_exact_pass,bound_challenger_only_return_worse,177,conservative_proxy,blended_uncertainty,0.16,0.6,1.0,1.0,0.5,126929.36612165972,-43535.17680680298,True,0.0272,0.137742,0.0,0.9705,263.0
canonical_4_return_aware,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_Gamma_exact_pass,bound_challenger_only_return_worse,178,conservative_proxy,capped_blended_uncertainty,0.16,0.6,1.0,1.0,0.5,126929.36612165972,-43535.17680680298,True,0.0272,0.137742,0.0,0.9705,263.0
canonical_4_return_aware,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_Gamma_exact_pass,bound_challenger_only_return_worse,176,conservative_proxy,capped_blended_uncertainty,0.16,0.6,0.95,1.0,0.5,126929.35475228775,-43535.188176174954,True,0.0272,0.137742,0.0,0.9705,263.0
canonical_4_segment_probe,paper1_bound_expansion_2026_05_24_r1__canonical_4__segment_probe_25k,best_return_exact_pass,append_or_park_no_champion_case,100,conservative_proxy,segment_tail_blended_uncertainty,0.16,0.2,1.0,0.75,0.1,157491.47340001757,-12973.069528445136,True,0.094402,0.369189,0.0,0.8963,213.0
canonical_4_segment_probe,paper1_bound_expansion_2026_05_24_r1__canonical_4__segment_probe_25k,best_return_exact_pass,append_or_park_no_champion_case,92,conservative_proxy,segment_tail_blended_uncertainty,0.16,0.2,1.0,0.75,0.2,156296.63858668334,-14167.904341779358,True,0.080525,0.352566,0.0,0.9056,206.0
canonical_4_segment_probe,paper1_bound_expansion_2026_05_24_r1__canonical_4__segment_probe_25k,best_return_exact_pass,append_or_park_no_champion_case,107,conservative_proxy,segment_tail_blended_uncertainty,0.16,0.2,1.0,0.75,0.05,155276.72947392872,-15187.813454533985,True,0.087467,0.389095,0.0,0.9076,218.0
canonical_4_segment_probe,paper1_bound_expansion_2026_05_24_r1__canonical_4__segment_probe_25k,best_V_exact_pass,append_or_park_no_champion_case,83,conservative_proxy,segment_relative_tail_blended_uncertainty,0.16,0.35,1.0,0.75,0.2,141899.36265525976,-28565.180273202946,True,0.05905,0.27019,0.0,0.9312,202.0
canonical_4_segment_probe,paper1_bound_expansion_2026_05_24_r1__canonical_4__segment_probe_25k,best_Gamma_exact_pass;best_V_exact_pass,append_or_park_no_champion_case,24,incumbent_region,segment_relative_tail_blended_uncertainty,0.17,0.5,1.0,0.75,0.2,141366.9665507856,-29097.57637767709,True,0.059075,0.265447,0.0,0.9292,205.0
canonical_4_segment_probe,paper1_bound_expansion_2026_05_24_r1__canonical_4__segment_probe_25k,best_Gamma_exact_pass;best_V_exact_pass,append_or_park_no_champion_case,1,incumbent_region,segment_relative_tail_blended_uncertainty,0.165,0.5,1.0,0.75,0.2,139871.55389083803,-30592.989037624677,True,0.06185,0.256325,0.0,0.9333,205.0
canonical_4_segment_probe,paper1_bound_expansion_2026_05_24_r1__canonical_4__segment_probe_25k,best_Gamma_exact_pass,append_or_park_no_champion_case,81,conservative_proxy,segment_relative_tail_blended_uncertainty,0.16,0.5,1.0,0.75,0.2,134955.27887917944,-35509.26404928326,True,0.06185,0.250435,0.0,0.9327,203.0
official_champion,official_champion_frozen,incumbent,official baseline: strongest balanced return/bound trade-off so far,0,official,blended_uncertainty,0.175,0.45,1.0,1.0,0.1,170464.5429284627,0.0,True,0.03645,0.18591,0.0,0.9433,
